epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2388.52,0.62707,0.6749,0.92488,0.78061,0.9897,0.88837,0.77742,0.52931,0.96605,0.88097,0.0008318,0.0008318,0.0008318
61,2430.44,0.62677,0.65861,0.94732,0.78379,0.98779,0.91895,0.79751,0.51681,0.8711,0.87235,0.000812,0.000812,0.000812
62,2472.61,0.62594,0.66589,0.92719,0.76623,0.96955,0.90229,0.77757,0.53615,0.85384,0.87899,0.0007922,0.0007922,0.0007922
63,2515.07,0.63346,0.66266,0.93587,0.76886,0.93758,0.90394,0.77224,0.54245,0.86241,0.88253,0.0007724,0.0007724,0.0007724
64,2557.66,0.64532,0.62579,0.94203,0.76624,0.96511,0.91291,0.78967,0.53822,0.8609,0.8832,0.0007526,0.0007526,0.0007526
65,2600.63,0.63663,0.64813,0.93664,0.78997,0.98495,0.92423,0.80557,0.52415,0.88635,0.87825,0.0007328,0.0007328,0.0007328
66,2643.58,0.6403,0.65353,0.92233,0.78484,0.9905,0.9276,0.8074,0.54045,0.91064,0.87791,0.000713,0.000713,0.000713
67,2686.41,0.61974,0.66152,0.91715,0.79363,0.99144,0.93109,0.81254,0.53277,0.85599,0.87528,0.0006932,0.0006932,0.0006932
68,2729.56,0.64573,0.70331,0.91797,0.7832,0.99322,0.93108,0.8081,0.53249,0.80873,0.87879,0.0006734,0.0006734,0.0006734
69,2772.41,0.61522,0.62918,0.92397,0.7868,0.981,0.9287,0.8053,0.52645,0.83395,0.87649,0.0006536,0.0006536,0.0006536
70,2815.31,0.61423,0.63825,0.91227,0.79472,0.98752,0.93582,0.82204,0.52684,0.8836,0.87296,0.0006338,0.0006338,0.0006338
71,2858.05,0.60849,0.64635,0.91896,0.79296,0.99457,0.94249,0.81655,0.52159,0.7872,0.87203,0.000614,0.000614,0.000614
72,2900.77,0.62373,0.59559,0.92942,0.78953,0.99764,0.94149,0.82013,0.51017,0.81206,0.86949,0.0005942,0.0005942,0.0005942
73,2943.7,0.59942,0.58652,0.9143,0.78135,0.98912,0.92396,0.80027,0.5229,0.96183,0.87274,0.0005744,0.0005744,0.0005744
74,2986.65,0.60593,0.61774,0.9048,0.79496,0.97965,0.93297,0.82154,0.50237,0.90488,0.87061,0.0005546,0.0005546,0.0005546
75,3028.16,0.58716,0.57909,0.90879,0.7944,0.99322,0.94301,0.82632,0.49695,0.79877,0.86714,0.0005348,0.0005348,0.0005348
76,3069.83,0.60959,0.62433,0.9196,0.79711,0.99683,0.94565,0.83511,0.49412,0.76059,0.86602,0.000515,0.000515,0.000515
77,3111.48,0.59663,0.60781,0.90046,0.79789,0.99457,0.94484,0.83472,0.49358,0.78936,0.86525,0.0004952,0.0004952,0.0004952
78,3154.2,0.58853,0.59499,0.91707,0.79215,0.99801,0.93888,0.83215,0.50583,0.83731,0.86987,0.0004754,0.0004754,0.0004754
79,3195.97,0.58448,0.61759,0.90075,0.79137,0.99729,0.93622,0.82988,0.49874,0.86691,0.86617,0.0004556,0.0004556,0.0004556
80,3237.85,0.58169,0.5952,0.8989,0.78732,0.98643,0.93078,0.82056,0.49543,0.81561,0.86364,0.0004358,0.0004358,0.0004358
81,3279.92,0.55778,0.54635,0.90119,0.78023,0.98643,0.93175,0.82285,0.49203,0.8088,0.86361,0.000416,0.000416,0.000416
82,3321.37,0.59545,0.5795,0.90982,0.79106,0.98507,0.93575,0.82675,0.49484,0.82771,0.86311,0.0003962,0.0003962,0.0003962
83,3363.25,0.5618,0.55083,0.89719,0.79357,0.99625,0.93952,0.83212,0.49208,0.84382,0.86361,0.0003764,0.0003764,0.0003764
84,3403.1,0.58935,0.58848,0.91104,0.7939,0.99864,0.94305,0.83842,0.48565,0.7905,0.86425,0.0003566,0.0003566,0.0003566
85,3442.85,0.5818,0.55278,0.90479,0.79591,0.99478,0.94689,0.84337,0.48095,0.77279,0.86232,0.0003368,0.0003368,0.0003368
86,3482.6,0.57071,0.61935,0.91189,0.79764,0.99593,0.9482,0.84251,0.48214,0.75081,0.86284,0.000317,0.000317,0.000317
87,3522.95,0.55887,0.55358,0.90545,0.79601,0.99457,0.94667,0.84647,0.47968,0.80663,0.86182,0.0002972,0.0002972,0.0002972
88,3563.8,0.56434,0.61231,0.90812,0.78744,0.98236,0.93849,0.83979,0.49022,0.84117,0.86354,0.0002774,0.0002774,0.0002774
89,3604.35,0.57439,0.5918,0.90656,0.79232,0.97693,0.93595,0.83613,0.48905,0.81398,0.86775,0.0002576,0.0002576,0.0002576
90,3644.97,0.53007,0.55209,0.89913,0.79775,0.99729,0.94454,0.8473,0.47974,0.8092,0.85976,0.0002378,0.0002378,0.0002378
91,3684.41,0.53279,0.56616,0.89566,0.79716,0.99715,0.94772,0.84598,0.478,0.78765,0.85911,0.000218,0.000218,0.000218
92,3723.83,0.52848,0.58755,0.89823,0.79675,0.99729,0.9492,0.84139,0.48459,0.74801,0.85873,0.0001982,0.0001982,0.0001982
93,3763.05,0.53212,0.57473,0.88924,0.79376,0.99864,0.94881,0.84172,0.48806,0.76048,0.86046,0.0001784,0.0001784,0.0001784
94,3802.42,0.49776,1.16602,0.86221,0.79251,0.99729,0.94584,0.8412,0.48376,0.74575,0.85938,0.0001586,0.0001586,0.0001586
95,3841.81,0.52185,0.56284,0.88675,0.79492,0.99729,0.94681,0.84629,0.47262,0.73425,0.85724,0.0001388,0.0001388,0.0001388
96,3880.94,0.51275,0.56333,0.86831,0.79515,0.99543,0.94554,0.84539,0.47091,0.74008,0.85747,0.000119,0.000119,0.000119
97,3920.3,0.51872,0.56945,0.87736,0.79653,0.99859,0.94603,0.84731,0.47316,0.75599,0.85711,9.92e-05,9.92e-05,9.92e-05
98,3959.67,0.51729,0.57111,0.88317,0.79465,0.99864,0.94659,0.84578,0.47269,0.7515,0.85691,7.94e-05,7.94e-05,7.94e-05
99,3999.56,0.49458,0.54315,0.8777,0.79665,0.99864,0.94781,0.84711,0.46844,0.74203,0.85619,5.96e-05,5.96e-05,5.96e-05
100,4039.28,0.49505,0.52443,0.88206,0.79645,0.99864,0.94726,0.84717,0.46759,0.74646,0.85579,3.98e-05,3.98e-05,3.98e-05
